conflict_id,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year,intensity_level,cumulative_intensity,type_of_conflict,start_date,start_prec,start_date2,start_prec2,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,region,type_of_conflict2,c_epid,c_epno,c_ep_startyear,c_epterm,c_outcome,c_ep_endyear,c_ependdate,c_ependprec,c_ep_durcount,c_ep_dur,version,conflict_type,termination_outcome,any_support,support_count,support_label
219,Madagascar (Malagasy),Government of France,33,NA,MDRM,179,NA,1,Malagasy,1947,2,1,1,1947-03-29,1,1947-03-29,1,220,NA,NA,NA,580,4,1,21901,1,1947,1,3,1947,1947-12-31,5,1,1,4.2024002,Extrasystemic,Victory,NA,NA,No External Support
220,Paraguay,Government of Paraguay,24,NA,"Opposition coalition (Febreristas, Liberals and Communists)",722,NA,2,NA,1947,2,1,3,1947-03-07,2,1947-03-31,3,150,NA,NA,NA,150,5,3,22001,1,1947,1,3,1947,1947-08-21,1,1,1,4.2024002,Intrastate,Victory,0,0,No External Support
220,Paraguay,Government of Paraguay,24,NA,Military faction (forces of Alfredo Stroessner),723,NA,2,NA,1954,1,1,3,1947-03-07,2,1954-05-05,1,150,NA,NA,NA,150,5,3,22002,2,1954,1,4,1954,1954-05-05,1,1,1,4.2024002,Intrastate,Low Activity,0,0,No External Support
220,Paraguay,Government of Paraguay,24,NA,Military faction (forces of Andres Rodriguez),724,NA,2,NA,1989,1,1,3,1947-03-07,2,1989-02-03,1,150,NA,NA,NA,150,5,3,22003,3,1989,1,4,1989,1989-02-03,1,1,1,4.2024002,Intrastate,Low Activity,0,0,No External Support
221,Myanmar (Burma),Government of Myanmar (Burma),144,NA,KNU,180,NA,1,Karen,1992,2,1,3,1948-12-31,3,1949-01-15,1,775,NA,NA,NA,775,3,3,22101,1,1949,1,5,1992,1992-11-22,1,44,44,4.2024002,Intrastate,Other/Unclear,1,6,External Support
221,Myanmar (Burma),Government of Myanmar (Burma),144,NA,KNU,180,NA,1,Karen,1995,1,1,3,1948-12-31,3,1994-12-31,5,775,NA,NA,NA,775,3,3,22102,2,1994,1,5,1995,1995-07-13,1,2,2,4.2024002,Intrastate,Other/Unclear,1,6,External Support
221,Myanmar (Burma),Government of Myanmar (Burma),144,NA,KNU,180,NA,1,Karen,1998,1,1,3,1948-12-31,3,1997-02-23,3,775,NA,NA,NA,775,3,3,22103,3,1997,1,5,1998,1998-07-14,4,2,2,4.2024002,Intrastate,Other/Unclear,1,6,External Support
221,Myanmar (Burma),Government of Myanmar (Burma),144,NA,"DKBA 5, KNU","1107, 180",NA,1,Karen,2011,1,1,3,1948-12-31,3,2000-03-03,1,775,NA,NA,NA,775,3,3,22104,4,2000,1,2,2011,2011-12-31,5,12,12,4.2024002,Intrastate,Ceasefire,1,6,External Support
221,Myanmar (Burma),Government of Myanmar (Burma),144,NA,DKBA 5,1107,NA,1,Karen,2013,1,1,3,1948-12-31,3,2013-04-29,2,775,NA,NA,NA,775,3,3,22105,5,2013,1,5,2013,2013-04-29,1,1,1,4.2024002,Intrastate,Other/Unclear,1,6,External Support
222,Myanmar (Burma),Government of Myanmar (Burma),144,NA,CPB,182,NA,2,NA,1988,2,1,3,1948-02-29,4,1948-02-29,4,775,NA,NA,NA,775,3,3,22201,1,1948,1,6,1988,1988-12-31,1,41,41,4.2024002,Intrastate,Ongoing,1,3,External Support
222,Myanmar (Burma),Government of Myanmar (Burma),144,NA,ABSDF,185,NA,2,NA,1992,1,1,3,1948-02-29,4,1990-12-31,5,775,NA,NA,NA,775,3,3,22202,2,1990,1,5,1992,1992-12-31,5,3,3,4.2024002,Intrastate,Other/Unclear,1,3,External Support
222,Myanmar (Burma),Government of Myanmar (Burma),144,NA,ABSDF,185,NA,2,NA,1994,1,1,3,1948-02-29,4,1994-12-31,5,775,NA,NA,NA,775,3,3,22203,3,1994,1,5,1994,1994-12-31,5,1,1,4.2024002,Intrastate,Other/Unclear,1,3,External Support
