conflict_id,country,location,side_a,side_b,year,region_label,intensity_level,intensity_label,conflict_type_label,lat,lon
11347,Mali,Mali,Government of Mali,"Ansar Dine, AQIM",2016,Africa,1,Minor Conflict,Internationalized Intrastate,-2,22
13306,Ukraine,Ukraine,Government of Ukraine,"DPR, LPR",2016,Europe,1,Minor Conflict,Internationalized Intrastate,54,25
13588,Russia,Russia (Soviet Union),Government of Russia (Soviet Union),IS,2016,Europe,1,Minor Conflict,Intrastate,54,25
13604,Syria,Syria,Government of Syria,IS,2016,Middle East,2,War,Internationalized Intrastate,29,42
13637,Afghanistan,Afghanistan,Government of Afghanistan,IS,2016,Asia,2,War,Internationalized Intrastate,34,90
13638,Cameroon,Cameroon,Government of Cameroon,IS,2016,Africa,1,Minor Conflict,Intrastate,-2,22
13639,Niger,Niger,Government of Niger,IS,2016,Africa,1,Minor Conflict,Internationalized Intrastate,-2,22
13641,Nigeria,Nigeria,Government of Nigeria,IS,2016,Africa,2,War,Internationalized Intrastate,-2,22
13646,Kenya,Kenya,Government of Kenya,Al-Shabaab,2016,Africa,1,Minor Conflict,Intrastate,-2,22
13648,Egypt,Egypt,Government of Egypt,IS,2016,Middle East,1,Minor Conflict,Intrastate,29,42
13653,India,India,Government of India,UNLFW,2016,Asia,1,Minor Conflict,Intrastate,34,90
13674,Bangladesh,Bangladesh,Government of Bangladesh,IS,2016,Asia,1,Minor Conflict,Intrastate,34,90
13694,Libya,Libya,Government of Libya,IS,2016,Africa,2,War,Internationalized Intrastate,-2,22
13809,Syria,Syria,Government of Syria,SDF,2016,Middle East,1,Minor Conflict,Intrastate,29,42
13886,Jordan,Jordan,Government of Jordan,IS,2016,Middle East,1,Minor Conflict,Intrastate,29,42
13902,Turkey,Turkey,Government of Turkey,IS,2016,Middle East,2,War,Intrastate,29,42
13936,Pakistan,Pakistan,Government of Pakistan,IS,2016,Asia,1,Minor Conflict,Intrastate,34,90
14275,Philippines,Philippines,Government of Philippines,IS,2016,Asia,1,Minor Conflict,Intrastate,34,90
14333,Tunisia,Tunisia,Government of Tunisia,IS,2016,Africa,1,Minor Conflict,Intrastate,-2,22
205,Iran,Iran,Government of Iran,KDPI,2016,Middle East,1,Minor Conflict,Intrastate,29,42
209,Philippines,Philippines,Government of Philippines,CPP,2016,Asia,1,Minor Conflict,Intrastate,34,90
218,India,"India, Pakistan",Government of India,Government of Pakistan,2016,Asia,1,Minor Conflict,Interstate,34,90
223,Myanmar,Myanmar (Burma),Government of Myanmar (Burma),ARSA,2016,Asia,1,Minor Conflict,Intrastate,34,90
227,India,India,Government of India,CPI-Maoist,2016,Asia,1,Minor Conflict,Intrastate,34,90
230,Yemen (North Yemen),Yemen (North Yemen),Government of Yemen (North Yemen),"AQAP, Forces of the Presidential Leadership Council",2016,Middle East,2,War,Internationalized Intrastate,29,42
231,Myanmar,Myanmar (Burma),Government of Myanmar (Burma),KIO,2016,Asia,1,Minor Conflict,Intrastate,34,90
259,Iraq,Iraq,Government of Iraq,IS,2016,Middle East,2,War,Internationalized Intrastate,29,42
283,Democratic Republic of Congo,DR Congo (Zaire),Government of DR Congo (Zaire),"Kamuina Nsapu, RNL",2016,Africa,1,Minor Conflict,Intrastate,-2,22
289,Colombia,Colombia,Government of Colombia,ELN,2016,Americas,1,Minor Conflict,Intrastate,-14,-60
297,Nigeria,Nigeria,Government of Nigeria,JAS,2016,Africa,1,Minor Conflict,Internationalized Intrastate,-2,22
299,Syria,Syria,Government of Syria,Syrian insurgents,2016,Middle East,2,War,Internationalized Intrastate,29,42
308,Philippines,Philippines,Government of Philippines,"al-Harakat al-Islamiyah, ASG, BIFM, Maute group",2016,Asia,1,Minor Conflict,Intrastate,34,90
309,Sudan,Sudan,Government of Sudan,"SPLM/A-North, SRF",2016,Africa,2,War,Intrastate,-2,22
314,Uganda,Uganda,Government of Uganda,ADF,2016,Africa,1,Minor Conflict,Internationalized Intrastate,-2,22
325,Pakistan,Pakistan,Government of Pakistan,"BLA, UBA",2016,Asia,1,Minor Conflict,Intrastate,34,90
329,Ethiopia,Ethiopia,Government of Ethiopia,ONLF,2016,Africa,1,Minor Conflict,Intrastate,-2,22
332,Mozambique,Mozambique,Government of Mozambique,Renamo,2016,Africa,1,Minor Conflict,Intrastate,-2,22
333,Afghanistan,Afghanistan,Government of Afghanistan,Taleban,2016,Asia,2,War,Internationalized Intrastate,34,90
337,Somalia,Somalia,Government of Somalia,Al-Shabaab,2016,Africa,2,War,Internationalized Intrastate,-2,22
353,Cameroon,Cameroon,Government of Cameroon,JAS,2016,Africa,1,Minor Conflict,Intrastate,-2,22
